Tariff,Handset,Peak_calls,Peak_mins,OffPeak_calls,OffPeak_mins,Weekend_calls,Weekend_mins,International_mins,Nat_call_cost,month
CAT 100,ASAD170,21.0,45.548154,17.0,26.098569,6.0,8.533735,22.451898,2.0,6.0
CAT 100,S50,51.0,86.272845,48.0,74.862566,3.0,48.0,47.080084,5.0,6.0
CAT 100,ASAD170,61.0,92.122695,4.0,6.237945,5.0,7.322805,32.41689,2.0,6.0
CAT 100,S50,41.0,81.772387,9.0,16.089797,1.0,4.759608,31.709279,4.0,6.0
CAT 100,S50,66.0,132.876353,10.0,18.438257,3.0,21.6,38.409671,4.0,6.0
CAT 100,S80,33.0,64.586277,9.0,40.618299,2.0,21.0,33.704728,0.0,6.0
CAT 100,ASAD90,40.0,78.282288,6.0,56.17479,2.0,18.0,36.683073,3.0,6.0
CAT 100,ASAD170,33.0,50.372952,18.0,32.335269,3.0,9.94203,30.532594,0.0,6.0
CAT 100,S50,82.0,140.191258,17.0,43.992309,3.0,4.624364,51.55931,8.0,6.0
CAT 100,S50,44.0,87.480654,17.0,36.825083,5.0,7.308795,41.779892,2.0,6.0
CAT 100,S50,75.0,151.366725,3.0,15.674865,10.0,15.338495,55.336356,6.0,6.0
CAT 100,ASAD90,27.0,48.608532,20.0,42.474598,3.0,5.272354,28.429029,1.0,6.0
CAT 100,ASAD170,87.0,179.162123,3.0,33.672818,1.0,1.8,54.308674,9.0,6.0
CAT 100,ASAD90,39.0,65.069784,21.0,47.550996,2.0,14.682413,37.543272,1.0,6.0
CAT 100,ASAD170,65.0,132.636737,6.0,24.345398,1.0,8.491331,52.458124,7.0,6.0
CAT 100,S80,48.0,96.67158,4.0,8.37225,0.0,0.0,35.127208,0.0,6.0
CAT 100,S80,49.0,98.348891,5.0,34.530759,1.0,82.2,44.16218,6.0,6.0
CAT 100,ASAD170,24.0,37.077858,18.0,28.064623,2.0,3.979087,19.485397,0.0,6.0
CAT 100,S50,32.0,65.504674,34.0,58.717592,2.0,5.230411,39.461357,0.0,6.0
CAT 100,ASAD90,24.0,48.639175,3.0,24.628735,7.0,10.511008,21.853035,1.0,6.0
CAT 100,ASAD90,71.0,120.577315,36.0,59.956672,12.0,28.019618,40.46775,8.0,6.0
CAT 100,ASAD170,76.0,112.138354,15.0,22.148131,5.0,7.418549,34.32097,4.0,6.0
CAT 100,ASAD170,79.0,135.538128,6.0,47.438345,12.0,17.024911,52.795128,4.0,6.0
CAT 100,S50,73.0,110.244373,10.0,14.368024,2.0,34.8,42.193456,0.0,6.0
CAT 100,S50,41.0,62.273217,29.0,44.955057,2.0,4.57007,26.691373,4.0,6.0
CAT 100,ASAD170,35.0,72.548162,19.0,41.80237,0.0,0.0,36.624777,3.0,6.0
CAT 100,ASAD170,87.0,133.100689,10.0,16.293154,1.0,60.0,47.859362,5.0,6.0
CAT 100,ASAD170,57.0,118.296295,16.0,58.232542,3.0,13.8,59.040232,6.0,6.0
CAT 100,ASAD170,39.0,66.517792,26.0,40.457109,2.0,3.783002,35.591933,0.0,6.0
CAT 100,S80,43.0,66.01116,4.0,39.082104,3.0,11.80332,27.19748,3.0,6.0
CAT 100,ASAD170,56.0,88.283853,13.0,41.010858,10.0,27.83172,48.090269,3.0,6.0
CAT 100,S80,90.0,143.717301,32.0,80.281642,6.0,23.338707,58.046939,7.0,6.0
CAT 100,ASAD170,37.0,77.583073,19.0,35.630001,7.0,16.761155,39.664849,3.0,6.0
CAT 100,ASAD170,53.0,112.369027,27.0,41.62029,2.0,2.763173,37.12877,5.0,6.0
CAT 100,ASAD90,51.0,87.063822,13.0,38.613051,3.0,7.050366,38.776631,5.0,6.0
CAT 100,ASAD170,134.0,202.339744,24.0,36.812447,8.0,18.706558,75.762642,11.0,6.0
CAT 100,S50,63.0,130.753728,5.0,15.060028,0.0,0.0,45.202086,4.0,6.0
CAT 100,S80,42.0,86.897998,8.0,17.391079,15.0,26.402298,41.305207,1.0,6.0
CAT 100,ASAD170,40.0,58.429219,19.0,40.128871,5.0,4.451436,21.202792,3.0,6.0
CAT 100,S80,52.0,108.537477,34.0,59.062579,6.0,15.856551,57.861644,6.0,6.0
CAT 100,S80,58.0,87.047909,7.0,66.577444,3.0,4.735544,41.988135,3.0,6.0
CAT 100,ASAD170,83.0,144.54779,0.0,0.0,8.0,10.90104,57.823693,7.0,6.0
CAT 100,S50,81.0,171.170437,9.0,28.230459,3.0,15.6,45.034228,7.0,6.0
CAT 100,S80,81.0,139.905037,3.0,201.9,3.0,47.4,59.744102,8.0,6.0
CAT 100,S80,92.0,140.068344,9.0,36.821402,3.0,8.5,41.581776,5.0,6.0
CAT 100,ASAD90,122.0,211.239382,3.0,22.8,0.0,0.0,64.969019,9.0,6.0
CAT 100,S80,71.0,152.034327,13.0,23.352583,3.0,12.750372,47.003086,6.0,6.0
CAT 100,ASAD170,23.0,47.185924,2.0,36.0,0.0,0.0,13.243545,1.0,6.0
CAT 100,S50,83.0,179.550182,10.0,28.248197,5.0,7.932713,64.214877,2.0,6.0
CAT 100,S50,40.0,84.808152,14.0,34.412539,6.0,9.024457,40.782638,2.0,6.0
CAT 100,S50,36.0,76.722798,35.0,73.72502,1.0,9.6,31.082827,5.0,6.0
CAT 100,S50,110.0,194.385571,15.0,26.170258,11.0,18.373219,71.033394,11.0,6.0
CAT 100,S50,81.0,139.282172,8.0,26.736066,4.0,5.941348,39.333177,5.0,6.0
CAT 100,S50,53.0,81.89929,7.0,21.140352,0.0,0.0,29.387405,3.0,6.0
CAT 100,S50,81.0,127.58256,41.0,84.903156,5.0,8.201736,65.534616,7.0,6.0
CAT 100,S50,49.0,84.945269,18.0,57.606562,9.0,25.019799,49.466181,4.0,6.0
CAT 100,S50,82.0,142.136798,11.0,33.31751,3.0,5.4,57.530313,5.0,6.0
CAT 100,ASAD170,47.0,100.718359,10.0,48.247684,5.0,8.762708,51.50722,5.0,6.0
CAT 100,S50,68.0,146.307749,12.0,22.645788,12.0,20.743297,56.471208,8.0,6.0
CAT 100,ASAD90,54.0,80.285641,36.0,70.101917,3.0,6.039185,41.021597,3.0,6.0
CAT 100,S50,49.0,103.033465,22.0,47.127661,1.0,3.931877,39.140149,5.0,6.0
CAT 100,S80,76.0,115.691141,16.0,44.3601,0.0,0.0,43.849767,5.0,6.0
CAT 100,S80,58.0,87.767002,3.0,32.100739,1.0,8.077229,26.523464,5.0,6.0
CAT 100,S80,54.0,114.853075,4.0,54.435572,6.0,13.160248,49.319332,5.0,6.0
CAT 100,ASAD170,68.0,116.069747,17.0,26.057506,2.0,28.8,41.319546,5.0,6.0
CAT 100,S80,80.0,123.213526,6.0,29.624305,7.0,14.443691,44.781284,2.0,6.0
CAT 100,S50,38.0,57.769985,17.0,41.058468,3.0,8.571856,35.405326,3.0,6.0
CAT 100,ASAD170,42.0,74.241292,40.0,64.242851,4.0,5.976079,40.825234,2.0,6.0
CAT 100,S50,67.0,144.904087,19.0,44.890131,1.0,2.615975,43.611764,8.0,6.0
CAT 100,S80,74.0,158.992506,64.0,100.230843,7.0,13.795742,70.323892,11.0,6.0
CAT 100,ASAD170,33.0,68.759107,10.0,21.146154,1.0,7.8,21.53265,2.0,6.0
CAT 100,ASAD170,75.0,131.768971,1.0,73.5,11.0,20.896805,34.74367,7.0,6.0
CAT 100,S50,62.0,136.75297,12.0,28.219838,1.0,51.5,41.681557,6.0,6.0
CAT 100,S50,46.0,79.497274,25.0,40.990782,8.0,10.909273,42.625354,2.0,6.0
CAT 100,ASAD90,40.0,61.229124,8.0,36.45916,1.0,3.710856,30.085623,0.0,6.0
CAT 100,ASAD170,38.0,83.73419,27.0,43.337148,2.0,8.4,40.118847,1.0,6.0
CAT 100,S80,88.0,141.612618,23.0,36.890682,0.0,0.0,38.121139,7.0,6.0
CAT 100,S50,66.0,117.445224,8.0,16.10064,3.0,4.651296,36.11578,6.0,6.0
CAT 100,S80,67.0,150.545304,41.0,64.312623,3.0,3.860136,45.147221,9.0,6.0
CAT 100,ASAD90,60.0,132.346292,15.0,26.11561,0.0,0.0,46.675289,3.0,6.0
CAT 100,S50,67.0,150.276872,27.0,58.51732,0.0,0.0,53.087539,9.0,6.0
CAT 100,S80,91.0,139.440217,44.0,79.393123,4.0,13.988666,47.216746,9.0,6.0
CAT 100,ASAD170,51.0,112.390602,0.0,0.0,0.0,0.0,36.532407,0.0,6.0
CAT 100,S80,67.0,146.729522,5.0,35.125802,1.0,2.232074,39.101957,8.0,6.0
CAT 100,ASAD170,35.0,60.922211,9.0,28.142713,1.0,5.667182,26.456962,3.0,6.0
CAT 100,ASAD90,68.0,102.99791,21.0,29.914387,4.0,24.6,40.30118,2.0,6.0
CAT 100,ASAD170,44.0,97.971548,4.0,11.946667,3.0,15.025857,30.479154,4.0,6.0
CAT 100,ASAD90,62.0,93.957298,19.0,49.355001,3.0,15.5,39.716364,2.0,6.0
CAT 100,ASAD170,68.0,147.915457,4.0,19.693312,3.0,5.0,44.495935,3.0,6.0
CAT 100,S50,105.0,186.522082,19.0,41.890494,3.0,5.023618,57.610303,9.0,6.0
CAT 100,S50,102.0,180.061259,3.0,24.9,3.0,17.556675,60.220226,8.0,6.0
CAT 100,ASAD170,36.0,79.964216,4.0,61.987374,0.0,0.0,38.239395,4.0,6.0
CAT 100,S50,57.0,101.808099,9.0,33.475883,4.0,9.433067,36.923318,3.0,6.0
CAT 100,ASAD170,85.0,152.678923,4.0,11.943045,1.0,2.200561,42.665828,6.0,6.0
CAT 100,ASAD170,49.0,107.79054,12.0,31.605552,3.0,5.85288,30.286186,5.0,6.0
CAT 100,S80,38.0,84.19572,16.0,41.358303,2.0,43.0,36.893842,2.0,6.0
CAT 100,S50,42.0,95.857738,3.0,6.617794,5.0,11.430734,31.678887,1.0,6.0
CAT 100,S80,36.0,80.64356,29.0,42.428857,0.0,0.0,30.530084,3.0,6.0
CAT 100,S80,64.0,147.233485,30.0,43.989646,0.0,0.0,59.886389,6.0,6.0
CAT 100,ASAD170,36.0,63.74894,16.0,55.078797,1.0,4.8,28.470959,4.0,6.0
CAT 100,S50,26.0,57.669649,1.0,139.5,3.0,7.214759,22.726002,3.0,6.0
CAT 100,S50,105.0,158.517912,27.0,70.136699,1.0,10.468164,59.415883,10.0,6.0
CAT 100,ASAD170,41.0,94.155936,3.0,50.968243,4.0,4.510464,43.444919,4.0,6.0
CAT 100,ASAD90,60.0,138.094944,3.0,55.5,11.0,20.847025,41.63612,5.0,6.0
CAT 100,S80,78.0,127.645362,3.0,190.5,6.0,16.069061,46.230601,6.0,6.0
CAT 100,S80,69.0,124.406365,2.0,178.8,6.0,10.556501,42.299155,4.0,6.0
CAT 100,S80,46.0,104.66308,11.0,59.484772,2.0,22.8,42.1868,6.0,6.0
CAT 100,S80,66.0,101.548379,19.0,54.201097,1.0,11.329778,44.067529,3.0,6.0
CAT 100,S50,79.0,128.162614,0.0,0.0,2.0,11.127892,46.134403,4.0,6.0
CAT 100,ASAD170,77.0,139.195368,20.0,45.717507,0.0,0.0,44.955392,6.0,6.0
CAT 100,S80,58.0,135.61243,0.0,0.0,0.0,0.0,54.903446,6.0,6.0
CAT 100,S50,32.0,74.073806,39.0,63.363508,7.0,9.673818,42.230732,0.0,6.0
CAT 100,S50,68.0,157.246718,14.0,70.370078,4.0,4.199038,59.776182,10.0,6.0
CAT 100,S50,51.0,115.82386,23.0,48.404866,7.0,9.738943,45.94043,6.0,6.0
CAT 100,S80,78.0,126.621144,40.0,64.690418,2.0,9.5,58.705076,3.0,6.0
CAT 100,ASAD170,35.0,79.907024,34.0,62.416645,3.0,16.004268,43.39694,4.0,6.0
CAT 100,ASAD170,32.0,50.037528,17.0,43.567158,2.0,3.450864,29.942438,1.0,6.0
CAT 100,S80,93.0,144.235339,17.0,82.552932,2.0,6.670944,52.791336,10.0,6.0
CAT 100,S50,78.0,179.630431,4.0,14.711113,6.0,15.766934,48.598751,9.0,6.0
CAT 100,S80,38.0,86.213051,8.0,33.521069,0.0,0.0,35.821482,0.0,6.0
CAT 100,ASAD170,35.0,63.060914,7.0,15.040576,1.0,1.674754,25.075212,1.0,6.0
CAT 100,ASAD170,82.0,125.943588,1.0,12.264376,1.0,6.599664,44.007872,4.0,6.0
CAT 100,S80,45.0,104.330572,12.0,26.256296,3.0,15.698209,41.8448,0.0,6.0
CAT 100,S80,117.0,214.676885,20.0,36.4184,0.0,0.0,52.223921,11.0,6.0
CAT 100,S80,47.0,108.852408,41.0,75.996036,5.0,9.718965,49.992964,7.0,6.0
CAT 100,S80,28.0,63.887448,24.0,35.519514,1.0,4.0,32.048853,0.0,6.0
CAT 100,S50,53.0,94.872882,18.0,28.0689,4.0,13.809899,34.139049,2.0,6.0
CAT 100,S80,47.0,109.349809,23.0,51.250468,5.0,13.117334,35.916078,6.0,6.0
CAT 100,S50,103.0,242.77945,1.0,23.015789,4.0,9.744588,74.788793,12.0,6.0
CAT 100,ASAD170,64.0,116.36913,29.0,62.032575,1.0,69.6,55.18482,6.0,6.0
CAT 100,S80,128.0,198.426931,8.0,11.057149,4.0,6.468808,57.695346,9.0,6.0
