Tariff,Handset,Peak_calls,Peak_mins,OffPeak_calls,OffPeak_mins,Weekend_calls,Weekend_mins,International_mins,Nat_call_cost,month
Play 100,SOP10,5.0,12.2112,0.0,0.0,8.0,12.82176,1.628201,0.0,1.0
Play 100,SOP20,9.0,14.954738,4.0,11.750152,2.0,6.765239,10.314687,0.0,1.0
Play 100,SOP10,0.0,0.0,0.0,0.0,0.0,0.0,1.799288,0.0,1.0
Play 100,SOP20,3.0,4.149899,5.0,8.499794,0.0,0.0,2.274509,0.0,1.0
Play 100,SOP20,6.0,4.394333,3.0,4.433221,1.0,1.516628,3.252436,0.0,1.0
Play 100,SOP10,2.0,5.609448,1.0,8.716219,0.0,0.0,4.777902,0.0,1.0
Play 100,SOP10,3.0,3.881111,2.0,3.186784,2.0,3.263931,2.204764,0.0,1.0
Play 100,SOP10,4.0,9.09509,6.0,9.815494,0.0,0.0,1.486194,0.0,1.0
Play 100,SOP10,4.0,7.994176,6.0,6.634056,1.0,2.72024,1.825282,0.0,1.0
Play 100,SOP20,0.0,0.0,10.0,18.135747,0.0,0.0,4.465268,0.0,1.0
Play 100,SOP20,0.0,0.0,1.0,6.125835,0.0,0.0,3.447562,0.0,1.0
Play 100,SOP20,3.0,10.237531,6.0,11.685262,0.0,0.0,5.491441,0.0,1.0
Play 100,SOP20,1.0,8.735148,8.0,15.110802,2.0,3.26313,3.229535,0.0,1.0
Play 100,SOP10,1.0,3.156905,3.0,5.01473,0.0,0.0,0.178378,0.0,1.0
Play 100,SOP20,0.0,0.0,4.0,10.141896,4.0,14.371933,8.141985,0.0,1.0
Play 100,SOP10,4.0,12.893126,0.0,0.0,3.0,6.408864,0.813796,0.0,1.0
Play 100,SOP20,0.0,0.0,2.0,7.116091,0.0,0.0,4.004869,0.0,1.0
Play 100,SOP10,1.0,10.510543,4.0,7.97198,0.0,0.0,6.416211,0.0,1.0
Play 100,SOP20,1.0,2.636837,1.0,2.72329,4.0,8.602139,1.6331,0.0,1.0
Play 100,SOP20,0.0,0.0,5.0,6.19047,0.0,0.0,3.205824,0.0,1.0
