Customer_ID,Gender,Age,L_O_S,Tariff,Handset,Peak_calls,Peak_mins,OffPeak_calls,OffPeak_mins,Weekend_calls,Weekend_mins,International_mins,Nat_call_cost
K100130,1,45,46.566667,CAT 50,SOP20,12.166666666666666,10.558619333333333,5.166666666666667,4.467108166666667,0.16666666666666666,0.507626,4.369472333333333,0.0
K100150,1,30,26.9,CAT 50,SOP20,9.0,16.000000000000004,1.5,5.8,2.3333333333333335,3.8000000000000003,8.114904166666667,0.0
K100180,1,37,27.966667,CAT 50,SOP10,9.5,6.986258500000001,5.333333333333333,3.6378151666666665,1.0,1.9980425000000002,3.582836833333333,0.0
K100270,1,44,29.833333,CAT 50,SOP20,4.166666666666667,6.9982758333333335,3.5,2.4108891666666667,0.16666666666666666,1.2389293333333333,1.578545,0.0
K100290,1,27,20.066667,CAT 50,SOP20,9.5,15.0,1.0,7.6000000000000005,3.3333333333333335,6.416666500000001,1.7548409999999999,0.0
K100360,1,30,45.7,CAT 50,SOP10,5.166666666666667,8.564151166666667,3.3333333333333335,2.913838333333333,0.0,0.0,3.1298953333333337,0.0
K100430,1,35,28.433333,CAT 50,SOP10,1.1666666666666667,11.200000166666664,3.5,6.799999833333334,0.0,0.0,1.0243595,0.0
K100500,1,50,46.666667,CAT 50,SOP20,4.0,12.195656166666668,2.1666666666666665,2.5942513333333332,0.0,0.0,0.18936683333333335,0.0
K100740,1,37,11.966667,CAT 50,SOP10,0.16666666666666666,19.3,1.1666666666666667,3.1,0.8333333333333334,2.008204333333333,8.166008833333334,0.0
K101010,1,28,49.3,Play 100,SOP10,5.166666666666667,12.0,0.16666666666666666,1.8,7.666666666666667,12.600000166666668,1.6000478333333332,0.0
K101090,1,37,42.1,Play 100,SOP20,7.666666666666667,12.599999833333333,3.5,9.900000166666667,1.8333333333333333,5.7,8.690560666666666,0.0
K101140,1,28,9.833333,Play 100,SOP10,0.0,0.0,0.16666666666666666,0.26419133333333333,0.0,0.0,1.6543186666666667,0.0
K101150,1,30,19.966667,Play 100,SOP20,4.333333333333333,4.884843333333333,6.5,10.005101000000002,0.5,2.4718485,2.677338666666667,0.0
K101160,1,32,20.3,Play 100,SOP20,5.666666666666667,4.166437166666667,3.3333333333333335,4.203308166666667,0.6666666666666666,0.621232,3.083746,0.0
K101220,1,32,46.3,Play 100,SOP10,2.3333333333333335,6.5,1.1666666666666667,10.099999833333333,0.5,7.8999999999999995,5.536405666666667,0.0
K101330,1,44,20.633333,Play 100,SOP10,3.5,3.9046714999999996,2.3333333333333335,3.2061295,2.1666666666666665,3.2837449999999997,2.2181595,0.0
K101390,1,43,25.566667,Play 100,SOP10,4.5,10.099999833333333,7.0,10.900000166666667,0.5,2.0,1.650402833333333,0.0
K101510,1,34,36.9,Play 100,SOP10,4.666666666666667,7.952552333333332,6.0,6.599513833333333,1.5,2.7060766666666667,1.8157786666666667,0.0
K101560,1,44,43.666667,Play 100,SOP20,0.0,0.0,11.833333333333334,20.850000166666664,0.16666666666666666,0.7000000000000001,5.133523500000001,0.0
K101690,1,33,26.766667,Play 100,SOP20,0.16666666666666666,6.155178666666667,1.6666666666666667,8.082557666666668,0.5,4.2277995,4.548787166666666,0.0
K101760,1,28,31.066667,Play 100,SOP20,2.8333333333333335,9.9,6.0,11.300000166666665,0.3333333333333333,0.7000000000000001,5.310362666666666,0.0
K101780,1,33,25.966667,Play 100,SOP20,1.6666666666666667,8.700000166666667,8.0,15.050000166666665,2.0,3.25,3.2165405000000002,0.0
K101800,1,40,51.466667,Play 100,SOP10,1.1666666666666667,4.168125666666667,4.0,6.621049,0.3333333333333333,0.49181416666666666,0.23551766666666665,0.0
K101870,1,31,24.366667,Play 100,SOP20,0.16666666666666666,1.2,4.0,9.950000166666667,3.6666666666666665,14.100000166666666,7.987929666666667,0.0
K101910,1,25,28.7,Play 100,SOP10,3.5,11.399999999999999,0.3333333333333333,7.75,2.5,5.666666666666667,0.7195521666666665,0.0
K101990,1,41,34.733333,Play 100,SOP20,0.16666666666666666,5.114274166666667,1.6666666666666667,6.715713666666666,0.5,3.5128348333333332,3.779540166666667,0.0
